Coin,Symbol,Market Cap Rank,Sharpe Ratio 1D,Omega Ratio 1D,Sharpe Ratio 7D,Omega Ratio 7D,Sharpe Ratio 30D,Omega Ratio 30D,Sharpe Ratio 90D,Omega Ratio 90D
Bitcoin,BTC,1,-0.4315905287368229,0.9583222763392063,-0.7088108722271185,0.9057420701577722,-1.2982270315231557,0.8315062170123657,-2.1585940295513963,0.7383325778183953
Ethereum,ETH,2,-0.5244856823894747,0.9373961433877201,-0.9923856187297425,0.8580551809415096,-2.2277452316462716,0.7041468099750293,-4.111202268523418,0.5310148779462001
Tether,USDT,3,-0.9838371016884268,1.002775801732174,-0.9827977388031633,1.0062993295164857,-0.8435404258346214,1.015008222147819,-0.5025694147905112,1.0614795668917876
BNB,BNB,4,-0.2514690020896824,0.9831482853007161,-0.28604344450413544,0.9633207159311744,-0.6150336456287026,0.9116253552767773,-1.1707858303716934,0.841672140474984
Solana,SOL,5,-0.24644946676678542,0.9766846454346959,-0.4158041907558103,0.9453203226769369,-0.8413979959144514,0.8900469862128115,-1.4233710365376395,0.8212045448692568
USDC,USDC,6,-0.8842832439514816,1.001953888282666,-0.8580691083491685,1.0016652982514165,-0.8354565535802855,1.0063473295718612,-0.780791921856617,1.0175817632999087
XRP,XRP,7,0.00024204730678824068,1.0227452429179185,0.3319441371232081,1.069629430923753,0.7249259846739681,1.1341129151749154,1.363681028458002,1.2452354407400181
Lido Staked Ether,STETH,8,-0.497087294967726,0.9386657003714021,-0.9688342769800236,0.8600550516548763,-2.192786359729393,0.707122997864893,-4.0781857140824584,0.5328713647808879
Toncoin,TON,9,-0.002333771633985228,1.021386449882829,0.2823087286955175,1.052820389473161,0.5615439627247476,1.0886500419378664,1.0322401064823792,1.1621444800772975
Dogecoin,DOGE,10,-0.48568245544839206,0.9393158544039485,-1.0255317703627318,0.8593824670098369,-2.3907024974224784,0.7127030244557995,-4.565417850310078,0.5261831755369929
